iter	Logloss
0	0.6701670781
1	0.6501775391
2	0.6235518932
3	0.6048600092
4	0.5863708051
5	0.5687096113
6	0.553756234
7	0.5331969525
8	0.5214116989
9	0.509062156
10	0.4970417944
11	0.4887774157
12	0.4770448931
13	0.4655106985
14	0.4560698153
15	0.4450710108
16	0.4355902041
17	0.425358486
18	0.4187663679
19	0.4118713861
20	0.404342455
21	0.3940009489
22	0.3874194618
23	0.3777487458
24	0.3724745421
25	0.3657636171
26	0.3598378311
27	0.3543103957
28	0.3488497967
29	0.342620816
30	0.3366007238
31	0.3315787633
32	0.3253114659
33	0.3199343269
34	0.314018818
35	0.309889247
36	0.3041737433
37	0.298935804
38	0.2944923995
39	0.290934936
40	0.285252321
41	0.2818993035
42	0.2791373923
43	0.2770748232
44	0.2741298229
45	0.2689617673
46	0.263707631
47	0.2598206072
48	0.2576994081
49	0.25407351
50	0.2506555138
51	0.2470208152
52	0.2418935838
53	0.2378916635
54	0.2350755992
55	0.2318756191
56	0.2281950896
57	0.2245253549
58	0.2215339714
59	0.216955299
60	0.214178104
61	0.2117707449
62	0.2104004601
63	0.2071931332
64	0.2045360703
65	0.20252456
66	0.2007502678
67	0.1972253419
68	0.1944765487
69	0.1921261669
70	0.1899181166
71	0.1881511356
72	0.1854505057
73	0.1828418883
74	0.180908218
75	0.1792966108
76	0.1762640045
77	0.1744669096
78	0.1721150155
79	0.1694542826
80	0.1674389677
81	0.1659312232
82	0.163482052
83	0.162016638
84	0.1602453272
85	0.1585688971
86	0.1565913536
87	0.1548118508
88	0.1539778031
89	0.1531146084
90	0.1518557909
91	0.1506196639
92	0.1488690102
93	0.1467881032
94	0.1443124303
95	0.1431104099
96	0.1420075557
97	0.1401007915
98	0.1383100074
99	0.1361682143
100	0.1341329041
101	0.1325508137
102	0.130244172
103	0.1287815017
104	0.1266473652
105	0.1255689865
106	0.123596878
107	0.1221623793
108	0.1204211221
109	0.1190320534
110	0.1170952031
111	0.1164371412
112	0.1146110082
113	0.113003639
114	0.1113667857
115	0.109579507
116	0.1080109768
117	0.1069975037
118	0.1059701531
119	0.1039196831
120	0.1018808232
121	0.1013112107
122	0.09952099788
123	0.09786603331
124	0.09695805712
125	0.09601043874
126	0.09489119609
127	0.0945635705
128	0.09323877434
129	0.09202428028
130	0.09078197792
131	0.0894519066
132	0.08846457042
133	0.08680478006
134	0.08566544706
135	0.08436053121
136	0.08295958772
137	0.08144491248
138	0.08030329786
139	0.07915172164
140	0.07763496246
141	0.07650814934
142	0.07564637122
143	0.07457255136
144	0.07386265144
145	0.07310494124
146	0.07210469905
147	0.07079883729
148	0.06974723835
149	0.06926618858
150	0.06824198517
151	0.06736045715
152	0.066435492
153	0.06532752266
154	0.06448035816
155	0.0636233064
156	0.06264947748
157	0.06243912832
158	0.0613974367
159	0.06118037573
160	0.06088779601
161	0.06047734885
162	0.05986609262
163	0.05875438729
164	0.05778916467
165	0.05697299666
166	0.05684194542
167	0.05597059842
168	0.05492035273
169	0.05416889693
170	0.053402475
